week_start_date,year,week_of_year,ST_max_Tmax,ST_mean_Tmax,ST_min_Tmin,ST_mean_Tmin,ST_mean_Tavg,ST_max_Tdtr,ST_mean_Tdtr,ST_min_Tdtr,SA_max_Pday,SA_mean_Pday,SA_PRECIP_GT1,SA_PRECIP_GT10,SA_PRECIP_GT30,RA_max_Tair,RA_mean_Tair,RA_min_Tair,RA_max_Tdp,RA_mean_Tdp,RA_min_Tdp,RA_max_RHpc,RA_mean_RHpc,RA_min_RHpc,RA_max_RHsp,RA_mean_RHsp,RA_min_RHsp,RA_min_Tmin,RA_mean_Tmin,RA_max_Tmax,RA_mean_Tmax,RA_max_Tdtr,RA_mean_Tdtr,RA_min_Tdtr,RA_max_Tavg,RA_mean_Tavg,RA_min_Tavg,RA_mean_Pday,RA_max_Pday,ndvi_ne,ndvi_sw,ndvi_nw,ndvi_se
1999-01-01,1999,1,35.0,33.25,21.7,22.1,27.1,11.3,9.9,8.5,27.92,14.011428571428569,7.0,6.0,0.0,25.720000000000034,24.695714285714306,23.73000000000001,24.01000000000005,22.898571428571447,21.100000000000023,99.33,91.71285714285715,82.43,18.89,17.687142857142856,15.82,20.55000000000001,22.164285714285747,33.950000000000045,29.750000000000032,13.400000000000036,7.585714285714289,3.300000000000012,27.55000000000007,25.95714285714289,23.700000000000053,12.4,38.5,0.2096714,0.1668,0.1710429,0.2735286
1999-01-08,1999,2,35.0,33.333333333333336,20.0,21.033333333333328,27.23333333333333,13.0,12.2,11.4,44.67,19.654285714285713,7.0,4.0,2.0,26.379999999999995,24.837142857142886,23.350000000000023,24.19,22.695714285714306,20.620000000000005,99.15,89.24142857142857,71.67,19.1,17.452857142857145,15.32,21.45000000000005,22.321428571428605,34.150000000000034,29.707142857142877,11.800000000000011,7.3857142857142755,1.7999999999999543,28.25,26.01428571428573,23.350000000000023,11.631428571428573,34.6,0.1079,0.06938333,0.08103333,0.15741429999999998
1999-01-15,1999,3,33.8,32.1,19.7,21.12,26.85,12.0,10.725,9.0,33.61,19.755000000000006,3.0,3.0,2.0,25.94,24.278571428571443,21.879999999999995,24.25,22.828571428571447,21.470000000000027,99.15,93.11,82.78,19.08,17.54,16.1,21.05000000000001,21.89285714285717,34.450000000000045,29.435714285714308,12.600000000000026,7.542857142857144,1.6000000000000227,28.150000000000034,25.664285714285736,21.850000000000023,21.31714285714286,58.1,0.2704429,0.2876143,0.2576857,0.18448570000000006
1999-01-22,1999,4,33.0,31.8,21.0,21.542857142857148,26.616666666666664,12.0,10.333333333333332,9.2,12.0,4.51,5.0,1.0,0.0,23.77000000000004,23.185714285714308,22.670000000000016,23.530000000000033,22.57571428571432,21.840000000000032,99.2,96.76142857142858,92.52,18.34,17.294285714285714,16.53,19.850000000000023,21.35000000000003,29.950000000000053,27.20714285714289,10.100000000000025,5.857142857142858,2.300000000000012,25.150000000000034,24.27857142857145,22.5,12.062857142857142,28.2,0.3114429,0.3542857,0.3084,0.3489857
1999-01-29,1999,5,35.4,32.480000000000004,21.0,21.48,26.7,10.8,10.2,9.6,34.07,17.087142857142858,7.0,5.0,1.0,24.570000000000054,23.288571428571462,22.44,23.25,22.36000000000001,21.20000000000005,98.9,95.01285714285713,90.32,17.99,17.077142857142857,15.89,19.05000000000001,20.935714285714308,29.850000000000023,27.06428571428573,9.399999999999975,6.1285714285714175,2.599999999999966,25.700000000000053,24.000000000000025,23.050000000000008,6.471428571428571,16.6,0.2994333,0.3573833,0.2779667,0.27902
1999-02-05,1999,6,32.0,31.125,21.2,21.46,26.3,10.1,9.95,9.8,31.22,11.27714285714286,7.0,3.0,1.0,23.94,22.857142857142886,22.160000000000025,23.470000000000034,22.348571428571454,21.28000000000003,99.15,97.24714285714286,90.47,18.26,17.021428571428572,15.98,18.45000000000005,20.564285714285752,29.650000000000034,26.47857142857145,11.199999999999989,5.914285714285696,2.8999999999999773,25.200000000000053,23.521428571428608,22.150000000000034,7.8428571428571425,18.4,0.32853330000000003,0.3075,0.2163,0.2997
1999-02-12,1999,7,32.5,31.16666666666667,21.0,21.28,26.25,11.5,10.0,9.3,19.09,7.372857142857144,7.0,2.0,0.0,24.080000000000037,23.058571428571447,22.050000000000008,23.300000000000008,22.344285714285746,21.700000000000053,99.4,96.37142857142857,91.3,18.04,17.041428571428572,16.36,18.75,20.764285714285734,31.450000000000053,27.67857142857145,12.700000000000045,6.914285714285718,2.200000000000045,25.950000000000053,24.22142857142861,22.850000000000023,13.791428571428574,43.5,0.1272571,0.1377833,0.1212714,0.1485714
1999-02-19,1999,8,32.0,32.0,20.8,21.3,27.0,10.0,10.0,10.0,23.6,8.875714285714286,7.0,3.0,0.0,25.150000000000034,23.632857142857148,22.44,23.340000000000032,22.680000000000025,21.830000000000037,99.45,95.38,88.88,18.06,17.352857142857143,16.4,19.75,21.578571428571447,31.25,28.29285714285717,9.699999999999989,6.714285714285723,2.400000000000034,26.950000000000053,24.935714285714308,22.850000000000023,9.122857142857145,26.6,0.2266571,0.2138857,0.2508167,0.2468333
1999-02-26,1999,9,35.0,33.5,21.0,21.657142857142855,27.616666666666664,14.0,11.766666666666667,11.0,24.58,7.247142857142856,7.0,1.0,0.0,26.830000000000037,25.534285714285737,24.23000000000001,24.460000000000036,22.99142857142859,21.620000000000005,96.75,88.32571428571428,79.78,19.44,17.774285714285714,16.34,20.650000000000034,21.992857142857165,35.450000000000045,31.992857142857165,13.5,10.0,7.199999999999987,28.700000000000053,26.992857142857165,24.850000000000023,6.4,9.9,0.3205167,0.2739833,0.24406,0.30985
1999-03-05,1999,10,36.2,34.166666666666664,21.4,21.942857142857147,28.05,13.7,12.266666666666666,8.5,13.43,3.890000000000001,5.0,1.0,0.0,27.06,25.338571428571445,22.129999999999995,23.030000000000033,20.94285714285716,18.180000000000007,95.2,80.42142857142856,62.75,17.74,15.821428571428573,13.24,19.350000000000023,20.67857142857145,36.450000000000045,32.45000000000003,15.700000000000045,11.771428571428574,4.899999999999976,28.600000000000023,26.564285714285745,23.25,2.5714285714285716,6.8,0.3650857,0.3813,0.3229571,0.3219
