week_start_date,season,month,season_week,denv1_cases,denv2_cases,denv3_cases,denv4_cases,other_positive_cases,total_cases,8_wk_rolling_mean,13_wk_rolling_mean
2000-07-01,2000/2001,Jul,1,0,0,0,0,0,0,,
2000-07-08,2000/2001,Jul,2,0,0,0,0,0,0,,
2000-07-15,2000/2001,Jul,3,0,0,0,0,0,0,,
2000-07-22,2000/2001,Jul,4,0,0,0,0,0,0,,
2000-07-29,2000/2001,Jul,5,0,0,0,0,0,0,0.0,
2000-08-05,2000/2001,Aug,6,0,0,0,0,0,0,0.0,
2000-08-12,2000/2001,Aug,7,0,0,0,0,0,0,0.0,0.07692307692307693
2000-08-19,2000/2001,Aug,8,0,0,0,0,0,0,0.125,0.07692307692307693
2000-08-26,2000/2001,Aug,9,0,0,0,0,0,0,0.125,0.07692307692307693
2000-09-02,2000/2001,Sep,10,0,0,0,0,0,0,0.125,0.15384615384615385
2000-09-09,2000/2001,Sep,11,0,0,0,0,1,1,0.125,0.23076923076923078
2000-09-16,2000/2001,Sep,12,0,0,0,0,0,0,0.125,0.23076923076923078
2000-09-23,2000/2001,Sep,13,0,0,0,0,0,0,0.25,0.23076923076923078
2000-09-30,2000/2001,Sep,14,0,0,0,0,0,0,0.375,0.23076923076923078
2000-10-07,2000/2001,Oct,15,0,0,0,0,0,0,0.375,0.23076923076923078
2000-10-14,2000/2001,Oct,16,0,0,0,0,1,1,0.25,0.23076923076923078
2000-10-21,2000/2001,Oct,17,0,0,0,0,1,1,0.25,0.23076923076923078
2000-10-28,2000/2001,Oct,18,0,0,0,0,0,0,0.25,0.15384615384615385
2000-11-04,2000/2001,Nov,19,0,0,0,0,0,0,0.25,0.23076923076923078
2000-11-11,2000/2001,Nov,20,0,0,0,0,0,0,0.25,0.23076923076923078
2000-11-18,2000/2001,Nov,21,0,0,0,0,0,0,0.125,0.23076923076923078
2000-11-25,2000/2001,Nov,22,0,0,0,0,0,0,0.125,0.23076923076923078
2000-12-02,2000/2001,Dec,23,0,0,0,0,0,0,0.125,0.15384615384615385
2000-12-09,2000/2001,Dec,24,0,0,0,0,0,0,0.125,0.07692307692307693
2000-12-16,2000/2001,Dec,25,0,0,0,0,1,1,0.125,0.07692307692307693
2000-12-23,2000/2001,Dec,26,0,0,0,0,0,0,0.125,0.07692307692307693
2001-01-01,2000/2001,Jan,27,0,0,0,0,0,0,0.125,0.07692307692307693
2001-01-08,2000/2001,Jan,28,0,0,0,0,0,0,0.125,0.07692307692307693
2001-01-15,2000/2001,Jan,29,0,0,0,0,0,0,0.125,0.07692307692307693
2001-01-22,2000/2001,Jan,30,0,0,0,0,0,0,0.0,0.07692307692307693
2001-01-29,2000/2001,Jan,31,0,0,0,0,0,0,0.0,0.07692307692307693
2001-02-05,2000/2001,Feb,32,0,0,0,0,0,0,0.0,0.0
2001-02-12,2000/2001,Feb,33,0,0,0,0,0,0,0.0,0.0
2001-02-19,2000/2001,Feb,34,0,0,0,0,0,0,0.0,0.0
2001-02-26,2000/2001,Feb,35,0,0,0,0,0,0,0.0,0.0
2001-03-05,2000/2001,Mar,36,0,0,0,0,0,0,0.0,0.07692307692307693
2001-03-12,2000/2001,Mar,37,0,0,0,0,0,0,0.0,0.07692307692307693
2001-03-19,2000/2001,Mar,38,0,0,0,0,0,0,0.0,0.07692307692307693
2001-03-26,2000/2001,Mar,39,0,0,0,0,0,0,0.125,0.07692307692307693
2001-04-02,2000/2001,Apr,40,0,0,0,0,0,0,0.125,0.07692307692307693
2001-04-09,2000/2001,Apr,41,0,0,0,0,0,0,0.125,0.15384615384615385
2001-04-16,2000/2001,Apr,42,0,0,0,0,1,1,0.125,0.23076923076923078
2001-04-23,2000/2001,Apr,43,0,0,0,0,0,0,0.125,0.23076923076923078
2001-04-30,2000/2001,Apr,44,0,0,0,0,0,0,0.25,0.23076923076923078
2001-05-07,2000/2001,May,45,0,0,0,0,0,0,0.375,0.3076923076923077
2001-05-14,2000/2001,May,46,0,0,0,0,0,0,0.375,0.3076923076923077
2001-05-21,2000/2001,May,47,0,0,0,0,1,1,0.25,0.3076923076923077
2001-05-28,2000/2001,May,48,1,0,0,0,0,1,0.375,0.3076923076923077
2001-06-04,2000/2001,Jun,49,0,0,0,0,0,0,0.375,0.23076923076923078
