week_start_date,season,month,season_week,denv1_cases,denv2_cases,denv3_cases,denv4_cases,other_positive_cases,additional_cases,total_cases,8_wk_rolling_mean,13_wk_rolling_mean
1990-04-30,1990/1991,Apr,1,0,0,0,0,4,0,4,,
1990-05-07,1990/1991,May,2,0,0,0,0,5,0,5,,
1990-05-14,1990/1991,May,3,0,0,0,0,4,0,4,,
1990-05-21,1990/1991,May,4,0,0,0,0,3,0,3,,
1990-05-28,1990/1991,May,5,0,0,0,0,6,0,6,4.125,
1990-06-04,1990/1991,Jun,6,1,0,0,0,1,0,2,4.875,
1990-06-11,1990/1991,Jun,7,0,0,0,0,4,0,4,5.0,5.0
1990-06-18,1990/1991,Jun,8,0,0,0,0,5,0,5,5.5,6.0
1990-06-25,1990/1991,Jun,9,2,0,0,0,8,0,10,5.375,7.384615384615385
1990-07-02,1990/1991,Jul,10,0,0,0,1,5,0,6,5.375,8.076923076923077
1990-07-09,1990/1991,Jul,11,0,0,0,0,8,0,8,7.25,9.461538461538462
1990-07-16,1990/1991,Jul,12,0,0,0,0,2,0,2,9.625,11.153846153846153
1990-07-23,1990/1991,Jul,13,0,2,0,0,4,0,6,10.625,12.846153846153847
1990-07-30,1990/1991,Jul,14,0,1,0,1,15,0,17,12.0,14.076923076923077
1990-08-06,1990/1991,Aug,15,1,1,0,0,21,0,23,14.75,16.76923076923077
1990-08-13,1990/1991,Aug,16,0,1,0,1,11,0,13,16.75,18.076923076923077
1990-08-20,1990/1991,Aug,17,0,0,0,1,20,0,21,19.0,20.846153846153847
1990-08-27,1990/1991,Aug,18,0,3,0,0,25,0,28,23.25,22.76923076923077
1990-09-03,1990/1991,Sep,19,1,2,0,3,18,0,24,24.5,25.923076923076923
1990-09-10,1990/1991,Sep,20,0,1,0,0,19,0,20,26.875,28.307692307692307
1990-09-17,1990/1991,Sep,21,0,4,0,0,36,0,40,29.375,31.384615384615383
1990-09-24,1990/1991,Sep,22,0,1,0,1,25,0,27,32.125,35.07692307692308
1990-10-01,1990/1991,Oct,23,0,3,0,4,35,0,42,33.25,37.46153846153846
1990-10-08,1990/1991,Oct,24,0,2,0,0,31,0,33,37.375,40.15384615384615
1990-10-15,1990/1991,Oct,25,0,3,0,0,40,0,43,43.75,42.07692307692308
1990-10-22,1990/1991,Oct,26,1,2,0,1,33,0,37,44.25,44.23076923076923
1990-10-29,1990/1991,Oct,27,0,4,0,1,52,0,57,47.875,46.30769230769231
1990-11-05,1990/1991,Nov,28,0,1,0,3,67,0,71,49.25,45.23076923076923
1990-11-12,1990/1991,Nov,29,0,0,0,1,43,0,44,51.625,45.23076923076923
1990-11-19,1990/1991,Nov,30,0,0,0,0,56,0,56,52.125,43.61538461538461
1990-11-26,1990/1991,Nov,31,0,0,0,3,49,1,53,50.75,42.69230769230769
1990-12-03,1990/1991,Dec,32,2,2,0,1,47,0,52,47.0,41.38461538461539
1990-12-10,1990/1991,Dec,33,1,3,0,5,38,0,47,40.75,41.15384615384615
1990-12-17,1990/1991,Dec,34,0,3,0,1,22,0,26,37.875,39.61538461538461
1990-12-24,1990/1991,Dec,35,0,2,0,0,25,0,27,34.125,35.46153846153846
1991-01-01,1990/1991,Jan,36,0,2,0,1,18,0,21,31.75,33.53846153846154
1991-01-08,1990/1991,Jan,37,0,1,0,3,17,0,21,29.875,31.153846153846153
1991-01-15,1990/1991,Jan,38,0,0,0,1,25,0,26,26.125,28.46153846153846
1991-01-22,1990/1991,Jan,39,0,0,0,0,34,0,34,25.25,26.076923076923077
1991-01-29,1990/1991,Jan,40,0,3,0,0,34,0,37,25.0,23.76923076923077
1991-02-05,1990/1991,Feb,41,0,0,0,2,15,0,17,24.625,23.076923076923077
1991-02-12,1990/1991,Feb,42,1,1,0,0,17,0,19,24.625,22.23076923076923
1991-02-19,1990/1991,Feb,43,1,3,0,0,21,0,25,23.5,21.846153846153847
1991-02-26,1990/1991,Feb,44,0,0,0,1,17,0,18,21.375,21.384615384615383
1991-03-05,1990/1991,Mar,45,1,1,0,1,18,0,21,18.75,21.153846153846153
1991-03-12,1990/1991,Mar,46,0,0,0,0,17,0,17,18.625,19.76923076923077
1991-03-19,1990/1991,Mar,47,0,0,0,0,17,0,17,18.125,18.23076923076923
1991-03-26,1990/1991,Mar,48,1,2,0,1,12,0,16,17.875,17.846153846153847
1991-04-02,1990/1991,Apr,49,0,2,0,1,13,0,16,17.625,17.692307692307693
1991-04-09,1990/1991,Apr,50,0,0,0,1,14,0,15,17.125,16.53846153846154
1991-04-16,1990/1991,Apr,51,1,0,0,0,22,0,23,16.5,16.307692307692307
1991-04-23,1990/1991,Apr,52,0,2,0,0,14,0,16,16.5,16.153846153846153
1991-04-30,1991/1992,Apr,1,0,1,0,0,16,0,17,15.75,16.46153846153846
1991-05-07,1991/1992,May,2,0,0,0,0,12,0,12,15.625,16.23076923076923
1991-05-14,1991/1992,May,3,1,2,0,0,14,0,17,16.125,16.384615384615383
1991-05-21,1991/1992,May,4,0,2,0,0,8,0,10,15.875,16.153846153846153
1991-05-28,1991/1992,May,5,0,1,0,0,14,0,15,15.625,16.076923076923077
1991-06-04,1991/1992,Jun,6,2,1,0,1,15,0,19,15.75,15.692307692307692
1991-06-11,1991/1992,Jun,7,0,2,0,4,15,0,21,15.875,16.23076923076923
1991-06-18,1991/1992,Jun,8,0,2,0,2,10,0,14,15.5,16.846153846153847
1991-06-25,1991/1992,Jun,9,4,0,0,1,13,0,18,16.5,20.692307692307693
